GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MiniProject-1,com.project.cat.Swagger,SwaggerConfiguration,0,15,0,0,0,2,0,2,0,2
MiniProject-1,com.project.cat.Idgenerator,CustomIdGenerator,16,26,0,0,1,5,1,2,1,2
MiniProject-1,com.project.cat.Service,PlanCatServiceImpl,34,13,0,0,9,5,1,2,1,2
MiniProject-1,com.project.cat.Service,PlanMasterServiceImpl,234,9,16,0,62,4,17,1,9,1
MiniProject-1,com.project.cat.Service,CaseworkerServiceImpl,330,7,32,0,76,2,30,1,14,1
MiniProject-1,com.project.cat.emailConfig,EmailUtility,36,7,0,0,12,2,1,1,1,1
MiniProject-1,com.project.cat.Controller,CaseWorkerController,84,24,4,0,16,5,8,3,6,3
MiniProject-1,com.project.cat.Controller,PlanController,130,9,4,0,25,4,10,1,8,1
MiniProject-1,com.project.cat,MiniProject1Application,5,3,0,0,2,1,1,1,1,1
MiniProject-1,com.project.cat.constants,AppConstants,3,0,0,0,1,0,1,0,1,0
